Time (s),Channel 1 (V)
0.0014725,0.4643986564651516
0.001475,0.4660947028858253
0.001477500000000001,0.4660947028858253
0.00148,0.4664339121699601
0.0014825,0.4677907493064991
0.001485,0.4681299585906339
0.0014875,0.4684691678747686
0.00149,0.4691475864430381
0.0014925,0.4705044235795771
0.001495,0.4701652142954423
0.001497500000000001,0.4711828421478466
0.0015,0.4715220514319813
0.0015025,0.4722004700002509
0.001505,0.4732180978526551
0.0015075,0.4728788885685203
0.00151,0.4735573071367899
0.0015125,0.4742357257050593
0.001515,0.4749141442733289
0.0015175,0.4749141442733289
0.001520000000000001,0.4755925628415984
0.0015225,0.4766101906940026
0.001525,0.4772886092622721
0.0015275,0.4772886092622721
0.00153,0.4776278185464069
0.0015325,0.4786454463988111
0.001535,0.4789846556829459
0.0015375,0.4800022835353501
0.001540000000000001,0.4796630742512154
0.0015425,0.4806807021036197
0.001545,0.4820375392401587
0.0015475,0.4816983299560239
0.00155,0.4820375392401587
0.0015525,0.4827159578084281
0.001555,0.4833943763766977
0.0015575,0.4840727949449671
0.00156,0.4840727949449671
0.001562500000000001,0.4847512135132367
0.001565,0.4861080506497757
0.0015675,0.4861080506497757
0.00157,0.4867864692180451
0.0015725,0.4867864692180451
0.001575,0.4874648877863147
0.0015775,0.4881433063545842
0.00158,0.4888217249228537
0.001582500000000001,0.4891609342069884
0.001585,0.4901785620593927
0.0015875,0.4898393527752579
0.00159,0.4905177713435274
0.0015925,0.4915353991959317
0.001595,0.4918746084800664
0.0015975,0.4925530270483359
0.0016,0.4925530270483359
0.0016025,0.4939098641848749
0.001605000000000001,0.4939098641848749
0.0016075,0.4945882827531444
0.00161,0.4952667013214139
0.0016125,0.4962843291738182
0.001615,0.4959451198896835
0.0016175,0.4969627477420877
0.00162,0.4973019570262225
0.0016225,0.4979803755944919
0.001625000000000001,0.4976411663103572
0.0016275,0.4983195848786267
0.00163,0.4989980034468962
0.0016325,0.4996764220151657
0.001635,0.5003548405834353
0.0016375,0.5013724684358395
